holiday_names,day,month,year,country_cd,country,date,national_cd
New Year,1,1,2030,175,Faroe Islands,2030-01-01,FO
Maundy Thursday,18,4,2030,175,Faroe Islands,2030-04-18,FO
Good Friday,19,4,2030,175,Faroe Islands,2030-04-19,FO
Easter Sunday,21,4,2030,175,Faroe Islands,2030-04-21,FO
Easter Monday,22,4,2030,175,Faroe Islands,2030-04-22,FO
National Flag Day,25,4,2030,175,Faroe Islands,2030-04-25,FO
Prayer Day,17,5,2030,175,Faroe Islands,2030-05-17,FO
Ascension Day,30,5,2030,175,Faroe Islands,2030-05-30,FO
Constitution Day,5,6,2030,175,Faroe Islands,2030-06-05,FO
Whit Sunday,9,6,2030,175,Faroe Islands,2030-06-09,FO
Whit Monday,10,6,2030,175,Faroe Islands,2030-06-10,FO
St. Olav's Eve,28,7,2030,175,Faroe Islands,2030-07-28,FO
St. Olav's Day (National Day),29,7,2030,175,Faroe Islands,2030-07-29,FO
Christmas Eve,24,12,2030,175,Faroe Islands,2030-12-24,FO
Christmas Day,25,12,2030,175,Faroe Islands,2030-12-25,FO
Boxing Day,26,12,2030,175,Faroe Islands,2030-12-26,FO
New Year's Eve,31,12,2030,175,Faroe Islands,2030-12-31,FO
New Year,1,1,2018,180,Fiji,2018-01-01,FJ
Good Friday,30,3,2018,180,Fiji,2018-03-30,FJ
Holy Saturday,31,3,2018,180,Fiji,2018-03-31,FJ
Easter Monday,2,4,2018,180,Fiji,2018-04-02,FJ
National Sports Day,29,6,2018,180,Fiji,2018-06-29,FJ
Constitution Day,7,9,2018,180,Fiji,2018-09-07,FJ
Fiji Day,10,10,2018,180,Fiji,2018-10-10,FJ
Diwali,7,11,2018,180,Fiji,2018-11-07,FJ
General election,14,11,2018,180,Fiji,2018-11-14,FJ
The Prophet's Birthday,19,11,2018,180,Fiji,2018-11-19,FJ
Christmas Day,25,12,2018,180,Fiji,2018-12-25,FJ
Boxing Day,26,12,2018,180,Fiji,2018-12-26,FJ
New Year,1,1,2019,180,Fiji,2019-01-01,FJ
Good Friday,19,4,2019,180,Fiji,2019-04-19,FJ
Holy Saturday,20,4,2019,180,Fiji,2019-04-20,FJ
Easter Monday,22,4,2019,180,Fiji,2019-04-22,FJ
Constitution Day,7,9,2019,180,Fiji,2019-09-07,FJ
Fiji Day,10,10,2019,180,Fiji,2019-10-10,FJ
Diwali,28,10,2019,180,Fiji,2019-10-28,FJ
The Prophet's Birthday,11,11,2019,180,Fiji,2019-11-11,FJ
Christmas Day,25,12,2019,180,Fiji,2019-12-25,FJ
Boxing Day,26,12,2019,180,Fiji,2019-12-26,FJ
New Year,1,1,2020,180,Fiji,2020-01-01,FJ
Good Friday,10,4,2020,180,Fiji,2020-04-10,FJ
Holy Saturday,11,4,2020,180,Fiji,2020-04-11,FJ
Easter Monday,13,4,2020,180,Fiji,2020-04-13,FJ
Constitution Day,7,9,2020,180,Fiji,2020-09-07,FJ
Fiji Day,10,10,2020,180,Fiji,2020-10-10,FJ
The Prophet's Birthday,29,10,2020,180,Fiji,2020-10-29,FJ
Diwali,14,11,2020,180,Fiji,2020-11-14,FJ
'Diwali' day off,16,11,2020,180,Fiji,2020-11-16,FJ
Christmas Day,25,12,2020,180,Fiji,2020-12-25,FJ
Boxing Day,26,12,2020,180,Fiji,2020-12-26,FJ
'Boxing Day' day off,28,12,2020,180,Fiji,2020-12-28,FJ
New Year,1,1,2021,180,Fiji,2021-01-01,FJ
Good Friday,2,4,2021,180,Fiji,2021-04-02,FJ
Holy Saturday,3,4,2021,180,Fiji,2021-04-03,FJ
Easter Monday,5,4,2021,180,Fiji,2021-04-05,FJ
Constitution Day,7,9,2021,180,Fiji,2021-09-07,FJ
Fiji Day,10,10,2021,180,Fiji,2021-10-10,FJ
The Prophet's Birthday,19,10,2021,180,Fiji,2021-10-19,FJ
Diwali,4,11,2021,180,Fiji,2021-11-04,FJ
Christmas Day,25,12,2021,180,Fiji,2021-12-25,FJ
Boxing Day,26,12,2021,180,Fiji,2021-12-26,FJ
'Christmas Day' day off,27,12,2021,180,Fiji,2021-12-27,FJ
'Boxing Day' day off,28,12,2021,180,Fiji,2021-12-28,FJ
New Year,1,1,2022,180,Fiji,2022-01-01,FJ
'New Year' day off,3,1,2022,180,Fiji,2022-01-03,FJ
Good Friday,15,4,2022,180,Fiji,2022-04-15,FJ
Holy Saturday,16,4,2022,180,Fiji,2022-04-16,FJ
Easter Monday,18,4,2022,180,Fiji,2022-04-18,FJ
Constitution Day,7,9,2022,180,Fiji,2022-09-07,FJ
'The Prophet's Birthday' day off,7,10,2022,180,Fiji,2022-10-07,FJ
The Prophet's Birthday,8,10,2022,180,Fiji,2022-10-08,FJ
Fiji Day,10,10,2022,180,Fiji,2022-10-10,FJ
Diwali,25,10,2022,180,Fiji,2022-10-25,FJ
Christmas Day,25,12,2022,180,Fiji,2022-12-25,FJ
'Christmas Day' day off,26,12,2022,180,Fiji,2022-12-26,FJ
'Boxing Day' day off,27,12,2022,180,Fiji,2022-12-27,FJ
New Year,1,1,2023,180,Fiji,2023-01-01,FJ
'New Year' day off,2,1,2023,180,Fiji,2023-01-02,FJ
Good Friday,7,4,2023,180,Fiji,2023-04-07,FJ
Holy Saturday,8,4,2023,180,Fiji,2023-04-08,FJ
Easter Monday,10,4,2023,180,Fiji,2023-04-10,FJ
Constitution Day,7,9,2023,180,Fiji,2023-09-07,FJ
The Prophet's Birthday,27,9,2023,180,Fiji,2023-09-27,FJ
Fiji Day,10,10,2023,180,Fiji,2023-10-10,FJ
Diwali,13,11,2023,180,Fiji,2023-11-13,FJ
Christmas Day,25,12,2023,180,Fiji,2023-12-25,FJ
Boxing Day,26,12,2023,180,Fiji,2023-12-26,FJ
New Year,1,1,2024,180,Fiji,2024-01-01,FJ
Good Friday,29,3,2024,180,Fiji,2024-03-29,FJ
Holy Saturday,30,3,2024,180,Fiji,2024-03-30,FJ
Easter Monday,1,4,2024,180,Fiji,2024-04-01,FJ
Constitution Day,7,9,2024,180,Fiji,2024-09-07,FJ
The Prophet's Birthday,16,9,2024,180,Fiji,2024-09-16,FJ
Fiji Day,10,10,2024,180,Fiji,2024-10-10,FJ
Diwali,1,11,2024,180,Fiji,2024-11-01,FJ
Christmas Day,25,12,2024,180,Fiji,2024-12-25,FJ
Boxing Day,26,12,2024,180,Fiji,2024-12-26,FJ
New Year,1,1,2025,180,Fiji,2025-01-01,FJ
Good Friday,18,4,2025,180,Fiji,2025-04-18,FJ
Holy Saturday,19,4,2025,180,Fiji,2025-04-19,FJ
Easter Monday,21,4,2025,180,Fiji,2025-04-21,FJ
The Prophet's Birthday,5,9,2025,180,Fiji,2025-09-05,FJ
Constitution Day,7,9,2025,180,Fiji,2025-09-07,FJ
Fiji Day,10,10,2025,180,Fiji,2025-10-10,FJ
Diwali,21,10,2025,180,Fiji,2025-10-21,FJ
Christmas Day,25,12,2025,180,Fiji,2025-12-25,FJ
Boxing Day,26,12,2025,180,Fiji,2025-12-26,FJ
New Year,1,1,2026,180,Fiji,2026-01-01,FJ
Good Friday,3,4,2026,180,Fiji,2026-04-03,FJ
Holy Saturday,4,4,2026,180,Fiji,2026-04-04,FJ
Easter Monday,6,4,2026,180,Fiji,2026-04-06,FJ
The Prophet's Birthday,26,8,2026,180,Fiji,2026-08-26,FJ
Constitution Day,7,9,2026,180,Fiji,2026-09-07,FJ
Fiji Day,10,10,2026,180,Fiji,2026-10-10,FJ
Christmas Day,25,12,2026,180,Fiji,2026-12-25,FJ
Boxing Day,26,12,2026,180,Fiji,2026-12-26,FJ
'Boxing Day' day off,28,12,2026,180,Fiji,2026-12-28,FJ
New Year,1,1,2027,180,Fiji,2027-01-01,FJ
Good Friday,26,3,2027,180,Fiji,2027-03-26,FJ
Holy Saturday,27,3,2027,180,Fiji,2027-03-27,FJ
Easter Monday,29,3,2027,180,Fiji,2027-03-29,FJ
The Prophet's Birthday,15,8,2027,180,Fiji,2027-08-15,FJ
'The Prophet's Birthday' day off,16,8,2027,180,Fiji,2027-08-16,FJ
Constitution Day,7,9,2027,180,Fiji,2027-09-07,FJ
Fiji Day,10,10,2027,180,Fiji,2027-10-10,FJ
Christmas Day,25,12,2027,180,Fiji,2027-12-25,FJ
Boxing Day,26,12,2027,180,Fiji,2027-12-26,FJ
'Christmas Day' day off,27,12,2027,180,Fiji,2027-12-27,FJ
'Boxing Day' day off,28,12,2027,180,Fiji,2027-12-28,FJ
New Year,1,1,2028,180,Fiji,2028-01-01,FJ
'New Year' day off,3,1,2028,180,Fiji,2028-01-03,FJ
Good Friday,14,4,2028,180,Fiji,2028-04-14,FJ
Holy Saturday,15,4,2028,180,Fiji,2028-04-15,FJ
Easter Monday,17,4,2028,180,Fiji,2028-04-17,FJ
The Prophet's Birthday,3,8,2028,180,Fiji,2028-08-03,FJ
Constitution Day,7,9,2028,180,Fiji,2028-09-07,FJ
Fiji Day,10,10,2028,180,Fiji,2028-10-10,FJ
Christmas Day,25,12,2028,180,Fiji,2028-12-25,FJ
Boxing Day,26,12,2028,180,Fiji,2028-12-26,FJ
New Year,1,1,2029,180,Fiji,2029-01-01,FJ
Good Friday,30,3,2029,180,Fiji,2029-03-30,FJ
Holy Saturday,31,3,2029,180,Fiji,2029-03-31,FJ
Easter Monday,2,4,2029,180,Fiji,2029-04-02,FJ
The Prophet's Birthday,24,7,2029,180,Fiji,2029-07-24,FJ
Constitution Day,7,9,2029,180,Fiji,2029-09-07,FJ
Fiji Day,10,10,2029,180,Fiji,2029-10-10,FJ
Christmas Day,25,12,2029,180,Fiji,2029-12-25,FJ
Boxing Day,26,12,2029,180,Fiji,2029-12-26,FJ
New Year,1,1,2030,180,Fiji,2030-01-01,FJ
Good Friday,19,4,2030,180,Fiji,2030-04-19,FJ
Holy Saturday,20,4,2030,180,Fiji,2030-04-20,FJ
Easter Monday,22,4,2030,180,Fiji,2030-04-22,FJ
The Prophet's Birthday,13,7,2030,180,Fiji,2030-07-13,FJ
'The Prophet's Birthday' day off,15,7,2030,180,Fiji,2030-07-15,FJ
Constitution Day,7,9,2030,180,Fiji,2030-09-07,FJ
Fiji Day,10,10,2030,180,Fiji,2030-10-10,FJ
Christmas Day,25,12,2030,180,Fiji,2030-12-25,FJ
Boxing Day,26,12,2030,180,Fiji,2030-12-26,FJ
New Year's Day,1,1,2018,24,Finland,2018-01-01,FI
Epiphany,6,1,2018,24,Finland,2018-01-06,FI
Valentine's Day,14,2,2018,24,Finland,2018-02-14,FI
Good Friday,30,3,2018,24,Finland,2018-03-30,FI
Easter Sunday,1,4,2018,24,Finland,2018-04-01,FI
Easter Monday,2,4,2018,24,Finland,2018-04-02,FI
May Day,1,5,2018,24,Finland,2018-05-01,FI
Ascension Day,10,5,2018,24,Finland,2018-05-10,FI
Mother's Day,13,5,2018,24,Finland,2018-05-13,FI
Whit Sunday,20,5,2018,24,Finland,2018-05-20,FI
Midsummer Eve,22,6,2018,24,Finland,2018-06-22,FI
Midsummer,23,6,2018,24,Finland,2018-06-23,FI
All Saints' Day,3,11,2018,24,Finland,2018-11-03,FI
Father's Day,11,11,2018,24,Finland,2018-11-11,FI
Independence Day,6,12,2018,24,Finland,2018-12-06,FI
Christmas Eve,24,12,2018,24,Finland,2018-12-24,FI
Christmas Day,25,12,2018,24,Finland,2018-12-25,FI
Boxing Day,26,12,2018,24,Finland,2018-12-26,FI
New Year's Eve,31,12,2018,24,Finland,2018-12-31,FI
New Year's Day,1,1,2019,24,Finland,2019-01-01,FI
Epiphany,6,1,2019,24,Finland,2019-01-06,FI
Valentine's Day,14,2,2019,24,Finland,2019-02-14,FI
Good Friday,19,4,2019,24,Finland,2019-04-19,FI
Easter Sunday,21,4,2019,24,Finland,2019-04-21,FI
Easter Monday,22,4,2019,24,Finland,2019-04-22,FI
May Day,1,5,2019,24,Finland,2019-05-01,FI
Mother's Day,12,5,2019,24,Finland,2019-05-12,FI
Ascension Day,30,5,2019,24,Finland,2019-05-30,FI
Whit Sunday,9,6,2019,24,Finland,2019-06-09,FI
Midsummer Eve,21,6,2019,24,Finland,2019-06-21,FI
Midsummer,22,6,2019,24,Finland,2019-06-22,FI
All Saints' Day,2,11,2019,24,Finland,2019-11-02,FI
Father's Day,10,11,2019,24,Finland,2019-11-10,FI
Independence Day,6,12,2019,24,Finland,2019-12-06,FI
Christmas Eve,24,12,2019,24,Finland,2019-12-24,FI
Christmas Day,25,12,2019,24,Finland,2019-12-25,FI
Boxing Day,26,12,2019,24,Finland,2019-12-26,FI
New Year's Eve,31,12,2019,24,Finland,2019-12-31,FI
New Year's Day,1,1,2020,24,Finland,2020-01-01,FI
Epiphany,6,1,2020,24,Finland,2020-01-06,FI
Valentine's Day,14,2,2020,24,Finland,2020-02-14,FI
Good Friday,10,4,2020,24,Finland,2020-04-10,FI
Easter Sunday,12,4,2020,24,Finland,2020-04-12,FI
Easter Monday,13,4,2020,24,Finland,2020-04-13,FI
May Day,1,5,2020,24,Finland,2020-05-01,FI
Mother's Day,10,5,2020,24,Finland,2020-05-10,FI
Ascension Day,21,5,2020,24,Finland,2020-05-21,FI
Whit Sunday,31,5,2020,24,Finland,2020-05-31,FI
Midsummer Eve,19,6,2020,24,Finland,2020-06-19,FI
Midsummer,20,6,2020,24,Finland,2020-06-20,FI
All Saints' Day,31,10,2020,24,Finland,2020-10-31,FI
Father's Day,8,11,2020,24,Finland,2020-11-08,FI
Independence Day,6,12,2020,24,Finland,2020-12-06,FI
Christmas Eve,24,12,2020,24,Finland,2020-12-24,FI
Christmas Day,25,12,2020,24,Finland,2020-12-25,FI
Boxing Day,26,12,2020,24,Finland,2020-12-26,FI
New Year's Eve,31,12,2020,24,Finland,2020-12-31,FI
New Year's Day,1,1,2021,24,Finland,2021-01-01,FI
Epiphany,6,1,2021,24,Finland,2021-01-06,FI
Valentine's Day,14,2,2021,24,Finland,2021-02-14,FI
Good Friday,2,4,2021,24,Finland,2021-04-02,FI
Easter Sunday,4,4,2021,24,Finland,2021-04-04,FI
Easter Monday,5,4,2021,24,Finland,2021-04-05,FI
May Day,1,5,2021,24,Finland,2021-05-01,FI
Mother's Day,9,5,2021,24,Finland,2021-05-09,FI
Ascension Day,13,5,2021,24,Finland,2021-05-13,FI
Whit Sunday,23,5,2021,24,Finland,2021-05-23,FI
Midsummer Eve,25,6,2021,24,Finland,2021-06-25,FI
Midsummer,26,6,2021,24,Finland,2021-06-26,FI
All Saints' Day,6,11,2021,24,Finland,2021-11-06,FI
Father's Day,14,11,2021,24,Finland,2021-11-14,FI
Independence Day,6,12,2021,24,Finland,2021-12-06,FI
Christmas Eve,24,12,2021,24,Finland,2021-12-24,FI
Christmas Day,25,12,2021,24,Finland,2021-12-25,FI
Boxing Day,26,12,2021,24,Finland,2021-12-26,FI
New Year's Eve,31,12,2021,24,Finland,2021-12-31,FI
New Year's Day,1,1,2022,24,Finland,2022-01-01,FI
Epiphany,6,1,2022,24,Finland,2022-01-06,FI
Valentine's Day,14,2,2022,24,Finland,2022-02-14,FI
Good Friday,15,4,2022,24,Finland,2022-04-15,FI
Easter Sunday,17,4,2022,24,Finland,2022-04-17,FI
Easter Monday,18,4,2022,24,Finland,2022-04-18,FI
May Day,1,5,2022,24,Finland,2022-05-01,FI
Mother's Day,8,5,2022,24,Finland,2022-05-08,FI
Ascension Day,26,5,2022,24,Finland,2022-05-26,FI
Whit Sunday,5,6,2022,24,Finland,2022-06-05,FI
Midsummer Eve,24,6,2022,24,Finland,2022-06-24,FI
Midsummer,25,6,2022,24,Finland,2022-06-25,FI
All Saints' Day,5,11,2022,24,Finland,2022-11-05,FI
Father's Day,13,11,2022,24,Finland,2022-11-13,FI
Independence Day,6,12,2022,24,Finland,2022-12-06,FI
Christmas Eve,24,12,2022,24,Finland,2022-12-24,FI
Christmas Day,25,12,2022,24,Finland,2022-12-25,FI
Boxing Day,26,12,2022,24,Finland,2022-12-26,FI
New Year's Eve,31,12,2022,24,Finland,2022-12-31,FI
New Year's Day,1,1,2023,24,Finland,2023-01-01,FI
Epiphany,6,1,2023,24,Finland,2023-01-06,FI
Valentine's Day,14,2,2023,24,Finland,2023-02-14,FI
Good Friday,7,4,2023,24,Finland,2023-04-07,FI
Easter Sunday,9,4,2023,24,Finland,2023-04-09,FI
Easter Monday,10,4,2023,24,Finland,2023-04-10,FI
May Day,1,5,2023,24,Finland,2023-05-01,FI
Mother's Day,14,5,2023,24,Finland,2023-05-14,FI
Ascension Day,18,5,2023,24,Finland,2023-05-18,FI
Whit Sunday,28,5,2023,24,Finland,2023-05-28,FI
Midsummer Eve,23,6,2023,24,Finland,2023-06-23,FI
Midsummer,24,6,2023,24,Finland,2023-06-24,FI
All Saints' Day,4,11,2023,24,Finland,2023-11-04,FI
Father's Day,12,11,2023,24,Finland,2023-11-12,FI
Independence Day,6,12,2023,24,Finland,2023-12-06,FI
Christmas Eve,24,12,2023,24,Finland,2023-12-24,FI
Christmas Day,25,12,2023,24,Finland,2023-12-25,FI
Boxing Day,26,12,2023,24,Finland,2023-12-26,FI
New Year's Eve,31,12,2023,24,Finland,2023-12-31,FI
New Year's Day,1,1,2024,24,Finland,2024-01-01,FI
Epiphany,6,1,2024,24,Finland,2024-01-06,FI
Valentine's Day,14,2,2024,24,Finland,2024-02-14,FI
Good Friday,29,3,2024,24,Finland,2024-03-29,FI
Easter Sunday,31,3,2024,24,Finland,2024-03-31,FI
Easter Monday,1,4,2024,24,Finland,2024-04-01,FI
May Day,1,5,2024,24,Finland,2024-05-01,FI
Ascension Day,9,5,2024,24,Finland,2024-05-09,FI
Mother's Day,12,5,2024,24,Finland,2024-05-12,FI
Whit Sunday,19,5,2024,24,Finland,2024-05-19,FI
Midsummer Eve,21,6,2024,24,Finland,2024-06-21,FI
Midsummer,22,6,2024,24,Finland,2024-06-22,FI
All Saints' Day,2,11,2024,24,Finland,2024-11-02,FI
Father's Day,10,11,2024,24,Finland,2024-11-10,FI
Independence Day,6,12,2024,24,Finland,2024-12-06,FI
Christmas Eve,24,12,2024,24,Finland,2024-12-24,FI
Christmas Day,25,12,2024,24,Finland,2024-12-25,FI
Boxing Day,26,12,2024,24,Finland,2024-12-26,FI
New Year's Eve,31,12,2024,24,Finland,2024-12-31,FI
New Year's Day,1,1,2025,24,Finland,2025-01-01,FI
Epiphany,6,1,2025,24,Finland,2025-01-06,FI
Valentine's Day,14,2,2025,24,Finland,2025-02-14,FI
Good Friday,18,4,2025,24,Finland,2025-04-18,FI
Easter Sunday,20,4,2025,24,Finland,2025-04-20,FI
Easter Monday,21,4,2025,24,Finland,2025-04-21,FI
May Day,1,5,2025,24,Finland,2025-05-01,FI
Mother's Day,11,5,2025,24,Finland,2025-05-11,FI
Ascension Day,29,5,2025,24,Finland,2025-05-29,FI
Whit Sunday,8,6,2025,24,Finland,2025-06-08,FI
Midsummer Eve,20,6,2025,24,Finland,2025-06-20,FI
Midsummer,21,6,2025,24,Finland,2025-06-21,FI
All Saints' Day,1,11,2025,24,Finland,2025-11-01,FI
Father's Day,9,11,2025,24,Finland,2025-11-09,FI
Independence Day,6,12,2025,24,Finland,2025-12-06,FI
Christmas Eve,24,12,2025,24,Finland,2025-12-24,FI
Christmas Day,25,12,2025,24,Finland,2025-12-25,FI
Boxing Day,26,12,2025,24,Finland,2025-12-26,FI
New Year's Eve,31,12,2025,24,Finland,2025-12-31,FI
New Year's Day,1,1,2026,24,Finland,2026-01-01,FI
Epiphany,6,1,2026,24,Finland,2026-01-06,FI
Valentine's Day,14,2,2026,24,Finland,2026-02-14,FI
Good Friday,3,4,2026,24,Finland,2026-04-03,FI
Easter Sunday,5,4,2026,24,Finland,2026-04-05,FI
Easter Monday,6,4,2026,24,Finland,2026-04-06,FI
May Day,1,5,2026,24,Finland,2026-05-01,FI
Mother's Day,10,5,2026,24,Finland,2026-05-10,FI
Ascension Day,14,5,2026,24,Finland,2026-05-14,FI
Whit Sunday,24,5,2026,24,Finland,2026-05-24,FI
Midsummer Eve,19,6,2026,24,Finland,2026-06-19,FI
Midsummer,20,6,2026,24,Finland,2026-06-20,FI
All Saints' Day,31,10,2026,24,Finland,2026-10-31,FI
Father's Day,8,11,2026,24,Finland,2026-11-08,FI
Independence Day,6,12,2026,24,Finland,2026-12-06,FI
Christmas Eve,24,12,2026,24,Finland,2026-12-24,FI
Christmas Day,25,12,2026,24,Finland,2026-12-25,FI
Boxing Day,26,12,2026,24,Finland,2026-12-26,FI
New Year's Eve,31,12,2026,24,Finland,2026-12-31,FI
New Year's Day,1,1,2027,24,Finland,2027-01-01,FI
Epiphany,6,1,2027,24,Finland,2027-01-06,FI
Valentine's Day,14,2,2027,24,Finland,2027-02-14,FI
Good Friday,26,3,2027,24,Finland,2027-03-26,FI
Easter Sunday,28,3,2027,24,Finland,2027-03-28,FI
Easter Monday,29,3,2027,24,Finland,2027-03-29,FI
May Day,1,5,2027,24,Finland,2027-05-01,FI
Ascension Day,6,5,2027,24,Finland,2027-05-06,FI
Mother's Day,9,5,2027,24,Finland,2027-05-09,FI
Whit Sunday,16,5,2027,24,Finland,2027-05-16,FI
Midsummer Eve,25,6,2027,24,Finland,2027-06-25,FI
Midsummer,26,6,2027,24,Finland,2027-06-26,FI
All Saints' Day,6,11,2027,24,Finland,2027-11-06,FI
Father's Day,14,11,2027,24,Finland,2027-11-14,FI
Independence Day,6,12,2027,24,Finland,2027-12-06,FI
Christmas Eve,24,12,2027,24,Finland,2027-12-24,FI
Christmas Day,25,12,2027,24,Finland,2027-12-25,FI
Boxing Day,26,12,2027,24,Finland,2027-12-26,FI
New Year's Eve,31,12,2027,24,Finland,2027-12-31,FI
New Year's Day,1,1,2028,24,Finland,2028-01-01,FI
Epiphany,6,1,2028,24,Finland,2028-01-06,FI
Valentine's Day,14,2,2028,24,Finland,2028-02-14,FI
Good Friday,14,4,2028,24,Finland,2028-04-14,FI
Easter Sunday,16,4,2028,24,Finland,2028-04-16,FI
Easter Monday,17,4,2028,24,Finland,2028-04-17,FI
May Day,1,5,2028,24,Finland,2028-05-01,FI
Mother's Day,14,5,2028,24,Finland,2028-05-14,FI
Ascension Day,25,5,2028,24,Finland,2028-05-25,FI
Whit Sunday,4,6,2028,24,Finland,2028-06-04,FI
Midsummer Eve,23,6,2028,24,Finland,2028-06-23,FI
Midsummer,24,6,2028,24,Finland,2028-06-24,FI
All Saints' Day,4,11,2028,24,Finland,2028-11-04,FI
Father's Day,12,11,2028,24,Finland,2028-11-12,FI
Independence Day,6,12,2028,24,Finland,2028-12-06,FI
Christmas Eve,24,12,2028,24,Finland,2028-12-24,FI
Christmas Day,25,12,2028,24,Finland,2028-12-25,FI
Boxing Day,26,12,2028,24,Finland,2028-12-26,FI
New Year's Eve,31,12,2028,24,Finland,2028-12-31,FI
New Year's Day,1,1,2029,24,Finland,2029-01-01,FI
Epiphany,6,1,2029,24,Finland,2029-01-06,FI
Valentine's Day,14,2,2029,24,Finland,2029-02-14,FI
Good Friday,30,3,2029,24,Finland,2029-03-30,FI
Easter Sunday,1,4,2029,24,Finland,2029-04-01,FI
Easter Monday,2,4,2029,24,Finland,2029-04-02,FI
May Day,1,5,2029,24,Finland,2029-05-01,FI
Ascension Day,10,5,2029,24,Finland,2029-05-10,FI
Mother's Day,13,5,2029,24,Finland,2029-05-13,FI
Whit Sunday,20,5,2029,24,Finland,2029-05-20,FI
Midsummer Eve,22,6,2029,24,Finland,2029-06-22,FI
Midsummer,23,6,2029,24,Finland,2029-06-23,FI
All Saints' Day,3,11,2029,24,Finland,2029-11-03,FI
Father's Day,11,11,2029,24,Finland,2029-11-11,FI
Independence Day,6,12,2029,24,Finland,2029-12-06,FI
Christmas Eve,24,12,2029,24,Finland,2029-12-24,FI
Christmas Day,25,12,2029,24,Finland,2029-12-25,FI
Boxing Day,26,12,2029,24,Finland,2029-12-26,FI
New Year's Eve,31,12,2029,24,Finland,2029-12-31,FI
New Year's Day,1,1,2030,24,Finland,2030-01-01,FI
Epiphany,6,1,2030,24,Finland,2030-01-06,FI
Valentine's Day,14,2,2030,24,Finland,2030-02-14,FI
Good Friday,19,4,2030,24,Finland,2030-04-19,FI
Easter Sunday,21,4,2030,24,Finland,2030-04-21,FI
Easter Monday,22,4,2030,24,Finland,2030-04-22,FI
May Day,1,5,2030,24,Finland,2030-05-01,FI
Mother's Day,12,5,2030,24,Finland,2030-05-12,FI
Ascension Day,30,5,2030,24,Finland,2030-05-30,FI
Whit Sunday,9,6,2030,24,Finland,2030-06-09,FI
Midsummer Eve,21,6,2030,24,Finland,2030-06-21,FI
Midsummer,22,6,2030,24,Finland,2030-06-22,FI
All Saints' Day,2,11,2030,24,Finland,2030-11-02,FI
Father's Day,10,11,2030,24,Finland,2030-11-10,FI
Independence Day,6,12,2030,24,Finland,2030-12-06,FI
Christmas Eve,24,12,2030,24,Finland,2030-12-24,FI
Christmas Day,25,12,2030,24,Finland,2030-12-25,FI
Boxing Day,26,12,2030,24,Finland,2030-12-26,FI
New Year's Eve,31,12,2030,24,Finland,2030-12-31,FI
New Year's Day,1,1,2018,5,France,2018-01-01,FR
Easter Sunday,1,4,2018,5,France,2018-04-01,FR
Easter Monday,2,4,2018,5,France,2018-04-02,FR
Labor Day / May Day,1,5,2018,5,France,2018-05-01,FR
WWII Victory Day,8,5,2018,5,France,2018-05-08,FR
Ascension Day,10,5,2018,5,France,2018-05-10,FR
Whit Sunday,20,5,2018,5,France,2018-05-20,FR
Whit Monday,21,5,2018,5,France,2018-05-21,FR
Mother's Day,27,5,2018,5,France,2018-05-27,FR
Father's Day,17,6,2018,5,France,2018-06-17,FR
Bastille Day,14,7,2018,5,France,2018-07-14,FR
Assumption of Mary,15,8,2018,5,France,2018-08-15,FR
All Saints' Day,1,11,2018,5,France,2018-11-01,FR
Armistice Day,11,11,2018,5,France,2018-11-11,FR
Christmas Eve,24,12,2018,5,France,2018-12-24,FR
Christmas Day,25,12,2018,5,France,2018-12-25,FR
New Year's Eve,31,12,2018,5,France,2018-12-31,FR
New Year's Day,1,1,2019,5,France,2019-01-01,FR
Easter Sunday,21,4,2019,5,France,2019-04-21,FR
Easter Monday,22,4,2019,5,France,2019-04-22,FR
Labor Day / May Day,1,5,2019,5,France,2019-05-01,FR
WWII Victory Day,8,5,2019,5,France,2019-05-08,FR
Mother's Day,26,5,2019,5,France,2019-05-26,FR
Ascension Day,30,5,2019,5,France,2019-05-30,FR
Whit Sunday,9,6,2019,5,France,2019-06-09,FR
Whit Monday,10,6,2019,5,France,2019-06-10,FR
Father's Day,16,6,2019,5,France,2019-06-16,FR
Bastille Day,14,7,2019,5,France,2019-07-14,FR
Assumption of Mary,15,8,2019,5,France,2019-08-15,FR
All Saints' Day,1,11,2019,5,France,2019-11-01,FR
Armistice Day,11,11,2019,5,France,2019-11-11,FR
Christmas Eve,24,12,2019,5,France,2019-12-24,FR
Christmas Day,25,12,2019,5,France,2019-12-25,FR
New Year's Eve,31,12,2019,5,France,2019-12-31,FR
New Year's Day,1,1,2020,5,France,2020-01-01,FR
Easter Sunday,12,4,2020,5,France,2020-04-12,FR
Easter Monday,13,4,2020,5,France,2020-04-13,FR
Labor Day / May Day,1,5,2020,5,France,2020-05-01,FR
WWII Victory Day,8,5,2020,5,France,2020-05-08,FR
Ascension Day,21,5,2020,5,France,2020-05-21,FR
Whit Sunday,31,5,2020,5,France,2020-05-31,FR
Whit Monday,1,6,2020,5,France,2020-06-01,FR
Mother's Day,7,6,2020,5,France,2020-06-07,FR
Father's Day,21,6,2020,5,France,2020-06-21,FR
Bastille Day,14,7,2020,5,France,2020-07-14,FR
Assumption of Mary,15,8,2020,5,France,2020-08-15,FR
All Saints' Day,1,11,2020,5,France,2020-11-01,FR
Armistice Day,11,11,2020,5,France,2020-11-11,FR
Christmas Eve,24,12,2020,5,France,2020-12-24,FR
